No,NAMA,JUDUL,ABSTRAK,label
11,Muammar Rizky,Membangun Komunikasi Jaringan Yang Aman Dengan Metode Tunneling Menggunakan ,"PT. BIRO KLASIFIKASI INDONESIA ( BKI ) yang bergerak dibidang BUMN mempunyai sistem komunikasi menggunakan Primelink Communication, dimana sistem ini dipakai untuk melakukan komunikasi antara kantor pusat dan cabang â€“ cabang di daerah. Dengan sistem ini komunikasi sering mengalami kegagalan,dan keamanan kurang terjamin, sehingga perlu dibuat suatu system yang bisa mengatasi permasalahan tersebut yaitu dengan merancang jaringan dengan metode tunnelling mode menggunakan ipsec dan mikrotik; Tunnelling akan membuat pengiriman menjadi lebih aman, keandalan ditingkatkan dengan menambah ISP, data yang dicabang bisa langsung dibaca seperti satu IP Lokal. Sistem dibuat melalui survey terhadap sistem yang sudah ada, menganalisa, merancang sistem baru dan menguji cobanya secara simulasi; dimana dari hasil uji coba sistem sudah berfungsi dengan baik sehingga dapat mengatasi permasalahan yang ada diperusahaan tersebut. Kata Kunci : Tunneling, Mikrotik , enkripsen, kemanan data,IPsec",JK
12,Muhamad Ikhsan,Perancangan Jaringan Akses Internet Dan Monitoring Keamanan Jaringan Berbasis Web (Studi Kasus : Rawa Badak Jakarta Utara),"Banyaknya kebutuhan akses internet untuk keperluan sehari-hari seperti belanja online, belajar online, serta pekerjaan online menjadikan masyarakat sulit mendapatkan akses internet yang praktis dan stabil. Begitu pula dengan lokasi rumah masyarakat yang tidak tercover jaringan akses internet, yang mengakibatkan sulitnya mendapatkan akses internet untuk aktifitas sehari - hari, terutama selama pandemi Coronavirus yang mengharuskan individu untuk konsistem tetap di rumah. Sehingga untuk mengatasi masalah yang terjadi diperlukan sebuah perancangan jaringan akses internet. Perancangan jaringan akses internet ini diperlukan untuk mengatasi kebutuhan masyarakat yaitu mendapatkan akses internet. Selain untuk mendapatkan akses internet yang mudah, perancangan ini juga memberikan akses internet yang stabil. Untuk mendapatkan akses internet yang stabil, dibutuhkan Mikrotik RB941 - 2nd. Dalam prosesnya dilakukan tahap manajemen bandwidth yaitu melakukan setting bandwidth ke setiap
rumah masyarakat, hal ini bertujuan agar bandwidth yang dibagikan bisa merata dan akses internet menjadi stabil. Setelah perancangan sudah jadi maka dilakukan pemantauan jaringan hal ini bertujuan
menjaga kualitas layanan internet tetap stabil dan meminimalisir terjadinya gangguan pada akses internet. Pemantauan keamanan jaringan menggunakan aplikasi PRTG Network Monitor, dengan memonitor bandwidth yang digunakan oleh warga, melihat trafik kecepatan dan performansi serta waktu aktif pada jaringan akses internet serta waktu aktif pada jaringan akses internet.
Kata Kunci : PPDIOO, Akses Internet, Monitoring Keamanan Jaringan",JK
13,Muhammad Al Farizi,Pemanfaatan Jaringan Wi-Fi Pribadi Untuk Peluang Usaha Hotspot Dengan Sistem Voucher,"Jaringan internet bukanlah sesuatu yang baru saat ini. Hampir di setiap orang membutuhkan jaringan internet untuk memperlancar arus informasi dalam kehidupan sehari-hari.Perkembangan teknologi jaringan internet saat ini adalah wireless network. Penggunaan jaringan wireless saat ini sudah banyak ditemukan di berbagai tempat, misalnya di perkantoran, rumah, sekolahan, dan kafe. Dalam penelitian ini penulis mengambil tema ""Pemanfaatan Jaringan Wi-Fi Pribadi Untuk Peluang Usaha Hotspot Dengan Sistem Voucher"". Penulis ingin memanfaatkan jaringan wi-fi pribadi untuk peluang usaha Ihotspot menggunakan sistem voucher, dimana user yang berlangganan hotspot harus membeli voucherhotspot terlebih dahulu. Setelah itu user akan diberikan voucherhotspot untuk login ke jaringan wifi tersebut dengan limit waktu yang sudah ditentukan, Agar lebih memudahkan user untuk login, penulis membuat sistem login menggunakan QR Code, User yang ingin login cukup dengan scan QR Code yang ada di vocuher. Metode yang dilakukan oleh penulis dalam penelitian ini meliputi, obeservasi yaitu dilakukan dengan cara mengamati secara langsung pada lokasi pembuatan hotspotvoucher. Studi literatur dengan mempelajari dan mencari bahan-bahan atau informasi-informasi di buku, jurnal, dan internet mengenai hal yang berhubungan dengan usaha hotspot berbasis voucher menggunakan mikrotik. Keyword: Jaringan internet, Hotspot, Mikrotik, Sistem Voucher",JK
14,Muhammad Mishbahul Munir,Rancang Bangun Infrastruktur Koneksi Jaringan Leasedline Dengan Melakukan Restart Modem Otomatis Dan Pelaporan Performance Koneksi Jaringan Berbasis Web (Studi Kasus Pt. Axi),"Kepercayaan yang dibangun antara perusahaan dan pelanggannya adalah keamanan. Salah satu hal penting dalam pengiriman data dari pelanggan ke perusahaan adalah keamanan dan kestabilan koneksi jaringan. Sebagai contoh koneksi jaringan yang aman adalah leasedline. Jaringan ini haruslah tersambung 24/7 jam nonstop. Namun pada kenyataanya, PT. Astragraphia Xprins Indonesia masih mengalami kendala apabila listrik mati dan koneksi terputus. Hal ini mengakibatkan keterlambatan pada pengiriman data yang nantinya akan menyebabkan keterlambatan pemrosesan data. Kendala ini berdampak pada berkurangnya kepercayaan pelanggan terhadap perusahaan. Penelitian ini bertujuan untuk mengurangi tingkat kegagalan koneksi leasedline pada PT. Astragraphia Xprins Indonesia dengan menambahkan aplikasi dan alat dari modul arduino pada struktur jaringan yang berfungsi menstabilkan koneksi leasedline. Selain itu fungsi aplikasi yang dibangun akan mengeluarkan monitoring web dashboard detail tiap ada kendala pada jaringan dengan satuan tanggal dan jam. Dan dapat difilter tiap mingguan, bulanan, dan tahunan, untuk tahunan ditampilkan berupa grafik agar pembacaan lebih mudah. Hasil monitoring tersebut digunakan sebagai bahan evaluasi perbaikan selanjutnya, agar permasalahan tidak muncul kembali. Output yang diharapkan permasalahan koneksi leasedline dapat berkurang. Kata Kunci : Leasedline, Monitoring web dashboard, Koneksi Jaringan, Arduino",JK
15,Nurul Nur Rachmad,Perancangan Dan Implementasi Kinerja Router Menggunakan Metode Routing Protocol Ospf Berbasis Cisco Router Pada Jaringan Man (Metropolitan Area Network),"Masih kurang optimalnya kinerja router pada jaringan MAN (Metropolitan Area Network) Pada PT SIIX EMS Indonesia pada saat pengiriman paket karena paket data hanya di kirim ke subnet-subnet yang ada di routing table saja serta sulitnya konfigurasi jika dalam jaringan berskala besar. Sehingga dibutuhkan sebuah konsep metode jaringan yang lebih efisien dan efektif dalam proses penentuan rute-rute dalam pengiriman paket data dari satu network ke network lain dalam lingkup jaringan yang sama dengan menentukan jalur terdekat atau tercepat dengan menggunakan konsep metode routing protokol OSPF (Open Shortest Path First. Dalam perancangan dan implementasi kinerja router menggunakan topologi star dalam desain rancangan jaringan agar mendapatkan hasil yang lebih maksimal dalam pengiriman paket-paket data. Mendesain 3 area jaringan meliputi area 0 (backbone), area 1 dan area 2 dengan menghasilkan tabel routing yang selalu up-to-date dengan nilai pake latency yang rendah dan dengan  nilai distance 110 sebagai routing terbaik. Dengan demikian untuk lebih mengetahui kelebihan dari penerapan OSPF lebih luas lagi. Dari hasil pengujian sebanyak 10 kali dengan menggunakan parameter latency bahwa rata-rata paket latency statik bernilai 5ms dan rata-rata paket latency OSPF bernilai 2ms dengan demikian nilai latency OSPF lebih rendah dibandingkan dengan latency statik. Kata kunci: MAN (Metropolitan Area Network), Routing Protokol, OSPF (Open Shortest Path First).",JK
16,Pundhan Nursantaqi,Implementasi Squid Proxy Dengan Filtering File Elektronik Dan Pembatasan Hak Akses User Pada Sistem Jaringan Local Area Network (Lan) (Studi Kasus Laboratorium Komputer Fakultas Kedokteran  Lambung Mangkurat),"Jaringan komputer pada saat ini telah terbukti sebagai sarana komunikasi dan sebagai sumber informasi yang sangat andal. Terutama dalam bidang pendidikan, jaringan komputer telah menjadi bagian terpenting dalam mendukung kinerja pendidik dan tenaga kependidikan. Namun, dibalik itu semua perlu di terapkannya suatu keamanan jaringan untuk mengantisipasi ancaman fisik maupun logic baik langsung ataupun tidak langsung dalam jaringan komputer. Salah satu penerapan keamanan jaringan adalah menggunakan proxy server dengan Squid. Tujuan penelitian dari perancangan proxy server dengan menggunakan Squid ini adalah untuk mengakses jaringan local dan internet secara aman di Laboratorium Komputer FK UNLAM. Untuk membatasi kecepatan mengunduh dan membatasi file-file elektronik yang dapat diunduh, web filtering melalui Access Control List (ACL) untuk membatasi situs web yang dapat diakses oleh pengguna. Diharapkan penelitian yang berupa rancangan ini dapat dijalankan oleh Laboratorium Komputer FK UNLAM untuk meningkatkan kualitas jaringan yang ada dan akses internet yang lebih aman dengan membatasi akses pada client. Kata Kunci : Jaringan Komputer, Proxy server, Squid, ACL, web filtering     ",JK
17,Rizky Tri Ansyah,Desain Dan Implementasi Jaringan Virtual Private Network Menggunakan Metode L2Tp (Layer 2 Tunneling Protocol),"Semakin berkembangnya teknologi informasi sekarang ini, dimana setiap orang membutuhkan informasi dalam waktu vang cepat, singkat dan akurat. Salah satunya adalah pengiriman data menggunakan e-mail antara kantor A dengan kantor B tetapi dengan menggunakan e-mail data yang hanya bisa didapatkan hanya data yang berkapasitas kecil dengan maksimal 25 Mega Bytes. Oleh karena itu VPN yang terhubung dengan IP Public salah satu solusinya VPN Virtual Private Network adalah sebuah proses dimana jaringan umum public network diamankan untuk memfungsikannya sebagaimana jarigan private network. VPN yang akan digunakan yaitu L2TP yang merupakan pengembangan dari PPTP ditambah L2F Layer 2 Forwarding. Dengan mengimplementasikan VPN serta pengujian jaringan L2TP Layer 2 Tunneling Protocol, pengiriman data dengan jumlah besar lebih stabil serta dapat mengcopy paste datanya dan memberikan keamanan pada saat pengiriman data berlangsung Mengimplementasikan L2TP Layer 2 Tunneling Protocol juga dapat memberikan keamanan dengan blok IP lokal agar user yang tidak bertanggung jawab tidak dapat mencoba mengakses ke mikrotiknya.  Kata Kunci : L2TP, Virtual Privat Network, E-mail, Keamanan, IP Public",JK
18,Sunardin,Perancangan Dan Implementasi Jaringan Nirkabel Menggunakan Wireless Intrusion Detection System (Ids) (Studi Kasus: Pt Binawan Inti Utama),"Jaringan wireless pada PT.Binawan Inti utama, pada saat ini sering terjadi. Permasalahan seperti penurunan performa jaringan internet yang selanjutnya dapat berimbar ke semua user/client yang terhubung pada jaringan. IDS (Intrusionn Detection Sistem) yang bertugas melakukan pengwasan terhadap traffic jaringan dan kegiatan-kegiatan yang mencurigakan didalam sebuah sistem jaringan. Metode penulis yang digunakan dalam adalah metode deskripif dan Observatif yaitu dengan cara studi kasus melihat pada lapangan. Penulis menggunakan Snort, barnyard2, Base,  dan mesin sensor IDS, yang berbasis linux Ubuntu. Hasil Tugas Akhir ini menyimpulkan bahwa sistem IDS yang diterapkan dapat berfungsi mendeteksi pada intruder atau penyusup pada mesin sensor IDS, yang ditampilkan barupa Base (Bassic Analisys Security Engine ). Penerapan sistem monitoring atau keamanan jaringan yang terintegrasi IDS (Intrusion Detection Sistem)  berbasis open souce. Kata kunci: wireless, IDS (Intrusion Detection Sistem),Base (Bassic Analisys Security Engine, Snort.",JK
19,Syafitri Indah Kurnia,Implementasi Algoritma Caesar Cipher Dalam Pengamanan Pesan,"Pertukaran data berupa teks bisa dilakukan dengan cara cepat menggunakan komputer ataupun alat lainnya melalui suatu jaringan publik. Hal ini menyebabkan  keamanan suatu data rentan terhadap penyadapan dan pencurian. Salah satu cara mengamankan data yaitu dengan cara teks tersebut disandikan menjadi kode-kode yang tidak bisa dipahami sehingga informasi tersebut tidak dapat diketahui oleh pihak yang tidak bertanggung jawab. Untuk menjaga kerahasiaan informasi yang terkandung dalam teks maka dalam penelitian ini dibuat aplikasi pengamanan pesan dengan teknik kriptografi algoritma Caesar Cipher. File pesan yang akan dikirim ke penerima dienkripsi terlebih dahulu dengan metode Caesar Cipher. Berdasarkan hasil uji coba dengan sepuluh teks yang digunakan, sembilan percobaan sukses dienkripsikan dan didekripsikan dan satu sample gagal dienkripsikan karena input kunci yang dimasukan berupa huruf. Kata Kunci : Kriptografi, Algoritma Caesar Cipher, File Teks.",JK
20,Nurul Nur Rachmat,Perancangan Dan Implementasi Kinerja Router Menggunakan Konsep Routing Protocol Ospf Berbasis Cisco Router Pada Jaringan Man (Metropolitan Area Network),"Masih kurang optimalnya kinerja router pada jaringan MAN (Metropolitan Area Network) Pada PT SIIX EMS Indonesia pada saat pengiriman paket karena paket data hanya di kirim ke subnet-subnet yang ada di routing table saja serta sulitnya konfigurasi jika dalam jaringan berskala besar. Sehingga dibutuhkan sebuah konsep metode jaringan yang lebih efisien dan efektif dalam proses penentuan rute-rute dalam pengiriman paket data dari satu network ke network lain dalam lingkup jaringan yang sama dengan menentukan jalur terdekat atau tercepat dengan menggunakan konsep metode routing protokol OSPF (Open Shortest Path First. Dalam perancangan dan implementasi kinerja router menggunakan topologi star dalam desain rancangan jaringan agar mendapatkan hasil yang lebih maksimal dalam pengiriman paket-paket data. Mendesain 3 area jaringan meliputi area 0 (backbone), area 1 dan area 2 dengan menghasilkan tabel routing yang selalu up-to-date dengan nilai pake latency yang rendah dan dengan  nilai distance 110 sebagai routing terbaik. Dengan demikian untuk lebih mengetahui kelebihan dari penerapan OSPF lebih luas lagi. Dari hasil pengujian sebanyak 10 kali dengan menggunakan parameter latency bahwa rata-rata paket latency statik bernilai 5ms dan rata-rata paket latency OSPF bernilai 2ms dengan demikian nilai latency OSPF lebih rendah dibandingkan dengan latency statik. Kata kunci: MAN (Metropolitan Area Network), Routing Protokol, OSPF (Open Shortest Path First).",JK
21,Kurniawan,Penanganan Serangan Dristributed Denail Of Service Dengan Menggunakan Router Management Overlay Network,Pada tulisan ini akan dibahas salah satu teknologi untuk menangani intrusi dalam suatu jaringan dalam mengatasi serangan yang sulit sekali dibendung- Keamanan informasi merupakan salah satu kunci yang dapat mempengaruhi tingkat Reliability (termasuk performa dan availability) suatu jaringan. Untuk mengatasi masalah keamanan jaringan dan komputer ada banyak pendekatan yang dapat dilakukan. Salah satunya adalah dengan menggunakan system IDS (Intrution Detection System) dan IPS (Intrusion Prevention System). Peningkatan jumlah serangan DDOS tersebut bahkan terbilang sangat pesat. Untuk menjaga ke setabilan dan keamanan jaringan komputer sering terjadi serangan pada Layer2 salah satu solusi yang dilakukan yaitu penggunaan fitur Router Management Overlay Network pada perangkat Router MikroTik. Merancang dan membangun sistim keamanan yang lebih baik sehingga dapat menjaga semua data yang keluar dan masuk pada sebuah perangkat dan menutup Port yang dapat memberikan akses kepada pihak yang tidak bertanggung jawab dan dapat mengembangkan sebuah system dalam sebuah pengaturan dari standart defult operating system Router MikroTik Os tersebut kepada setingan yang lebih baik. Agar dapat mengenal serangan DDOS yang dapat menyerang ICMP/TCP/UDP yang bertugas mengirim pesan dan menjadikan koneksi pada Layar2 lebih stabil.,JK
22,Arie Setya Putra,Sistem Monitoring Realtime Jaringan Irigasi Desa (Jides) Dengan Konsep Jaringan Sensor Nirkabel,"Program swasembada di era pemeritahan yang baru memprogramkan untuk meraih kembali swasembada pangan yang dulu pernah dicapai. Hal ini terdapat pada salah satu nawacita pemerintahan baru yaitu mewujudkan kemandirian nasional dengan menggerakkan sektor-sektor strategis ekonomi domestik, yang salah satunya pada sektor pertanian melalui upaya membangun dan mewujudkan kedaulatan pangan. Dalam upaya untuk mewujudkan kedaulatan pangan, penulis membuat inovasi teknologi berupa prototype (purwarupa) sistem pemantuan jaringan irigasi desa (JIDES) berbasis web sehingga dapat di akses dari berbagai jenis perangkat dan dapat di akses dimana saja sedangkan teknologi yang dikembangkan menggunakan single board computer (SBC) dengan perangkat sensor yang memiliki jarak deteksi 2â€“300 cm dan dengan model jaringan berbasis pada topologi mesh yang memiliki jarak transmisi kurang lebih 1200 meter outdoor antara titik node. Hasil pengiriman data antara titik node menunjukkan bahwa waktu update data ketinggian air setiap 60 detik dengan waktu pengiriman ke database server rata-rata setiap 60 detik. Kata Kunci : Irigasi Desa, Sistem Pemantauan, Jaringan Sensor Nirkabel, Raspberry PI",JK
